Type	TypeCode	event_node_name
LINK_DOWN	3002	ocevents_LINK_DOWN_3002
COMMIT_COMPLETED	3003	ocevents_COMMIT_COMPLETED_3003
OC_ALARM_CHASSIS_POE	3059	ocevents_OC_ALARM_CHASSIS_POE_3059
OC_ALARM_OPTICS_IFACE_RX_LOW	3052	ocevents_OC_ALARM_OPTICS_IFACE_RX_LOW_3052
OC_ALARM	3057	ocevents_OC_ALARM_3057
DOT1XD_USR_AUTHENTICATED	3000	ocevents_DOT1XD_USR_AUTHENTICATED_3000
STP_TOPO_CHANGED	3007	ocevents_STP_TOPO_CHANGED_3007
OC_DISCONNECTED	3006	ocevents_OC_DISCONNECTED_3006
OC_CONNECTED	3005	ocevents_OC_CONNECTED_3005
LINK_UP	3001	ocevents_LINK_UP_3001
OC_DYNAMIC_PORT_ASSIGNED	3014	ocevents_OC_DYNAMIC_PORT_ASSIGNED_3014
DOT1XD_RCVD_EAPLOGOF_ATHNTICTD	3000	ocevents_DOT1XD_RCVD_EAPLOGOF_ATHNTICTD_3000
OC_SYSTEM_SERVICE_RESTART	3051	ocevents_OC_SYSTEM_SERVICE_RESTART_3051
DOT1XD_USR_SESSION_DISCONNECTED	3000	ocevents_DOT1XD_USR_SESSION_DISCONNECTED_3000
DOT1XD_AUTH_SESSION_DELETED	3000	ocevents_DOT1XD_AUTH_SESSION_DELETED_3000
